,Unnamed: 0,identificativo,fondo,serie,collocazione,copia,collocazione_antica,recto,data,notaio,data_i,data_f,is_digitized,fondo_serie
2082,2082,FV SG Pergamene 7869,San Giorgio in Braida (ASVat FV 1),Pergamene,7869,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2083,2083,FV SG Pergamene 7870,San Giorgio in Braida (ASVat FV 1),Pergamene,7870,Originale,n.d.,n.d.,1101 07 22-1200 07 22,Petrus domini Federici imperatoris notarius,1101 07 22,1200 07 22,No,FV SG Pergamene
2084,2084,FV SG Pergamene 7871,San Giorgio in Braida (ASVat FV 1),Pergamene,7871,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2085,2085,FV SG Pergamene 7872,San Giorgio in Braida (ASVat FV 1),Pergamene,7872,Originale,n.d.,n.d.,1101 11 03-1200 11 03,Basta sacri palacii notarius,1101 11 03,1200 11 03,No,FV SG Pergamene
2086,2086,FV SG Pergamene 7873,San Giorgio in Braida (ASVat FV 1),Pergamene,7873,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2087,2087,FV SG Pergamene 7874,San Giorgio in Braida (ASVat FV 1),Pergamene,7874,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2088,2088,FV SG Pergamene 7875,San Giorgio in Braida (ASVat FV 1),Pergamene,7875,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2089,2089,FV SG Pergamene 7876,San Giorgio in Braida (ASVat FV 1),Pergamene,7876,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2090,2090,FV SG Pergamene 7877,San Giorgio in Braida (ASVat FV 1),Pergamene,7877,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2091,2091,FV SG Pergamene 7878,San Giorgio in Braida (ASVat FV 1),Pergamene,7878,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2092,2092,FV SG Pergamene 7879,San Giorgio in Braida (ASVat FV 1),Pergamene,7879,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2093,2093,FV SG Pergamene 7880,San Giorgio in Braida (ASVat FV 1),Pergamene,7880,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2094,2094,FV SG Pergamene 7881,San Giorgio in Braida (ASVat FV 1),Pergamene,7881,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2095,2095,FV SG Pergamene 7882,San Giorgio in Braida (ASVat FV 1),Pergamene,7882,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2096,2096,FV SG Pergamene 7883,San Giorgio in Braida (ASVat FV 1),Pergamene,7883,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Ardericus imperatoris Federici notarius,1101 00 00,1200 00 00,No,FV SG Pergamene
2097,2097,FV SG Pergamene 7884,San Giorgio in Braida (ASVat FV 1),Pergamene,7884,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2098,2098,FV SG Pergamene 7885,San Giorgio in Braida (ASVat FV 1),Pergamene,7885,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2099,2099,FV SG Pergamene 7886,San Giorgio in Braida (ASVat FV 1),Pergamene,7886,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2100,2100,FV SG Pergamene 7887,San Giorgio in Braida (ASVat FV 1),Pergamene,7887,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2101,2101,FV SG Pergamene 7888,San Giorgio in Braida (ASVat FV 1),Pergamene,7888,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2102,2102,FV SG Pergamene 7889,San Giorgio in Braida (ASVat FV 1),Pergamene,7889,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2103,2103,FV SG Pergamene 7890,San Giorgio in Braida (ASVat FV 1),Pergamene,7890,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2104,2104,FV SG Pergamene 7891,San Giorgio in Braida (ASVat FV 1),Pergamene,7891,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2105,2105,FV SG Pergamene 7892,San Giorgio in Braida (ASVat FV 1),Pergamene,7892,Originale,n.d.,n.d.,1195 00 00,Atto non convalidato,1195 00 00,,No,FV SG Pergamene
2106,2106,FV SG Pergamene 7893,San Giorgio in Braida (ASVat FV 1),Pergamene,7893,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2107,2107,FV SG Pergamene 7894,San Giorgio in Braida (ASVat FV 1),Pergamene,7894,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2108,2108,FV SG Pergamene 7895,San Giorgio in Braida (ASVat FV 1),Pergamene,7895,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2109,2109,FV SG Pergamene 7896,San Giorgio in Braida (ASVat FV 1),Pergamene,7896,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2110,2110,FV SG Pergamene 7897,San Giorgio in Braida (ASVat FV 1),Pergamene,7897,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2111,2111,FV SG Pergamene 7898,San Giorgio in Braida (ASVat FV 1),Pergamene,7898,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
2112,2112,FV SG Pergamene 7899,San Giorgio in Braida (ASVat FV 1),Pergamene,7899,Originale,n.d.,n.d.,1101 00 00-1200 00 00,Atto non convalidato,1101 00 00,1200 00 00,No,FV SG Pergamene
