,Unnamed: 0,identificativo,fondo,serie,collocazione,copia,collocazione_antica,recto,data,notaio,data_i,data_f,is_digitized,fondo_serie
0,0,All Pergamene 1,Allegri,Pergamene,1,Originale,n.d.,/iipzoom/image.php?collect=All%20Pergamene&imgname=ASVr_All_1r.tif,1200 02 10,Petrus domini Federici imperatoris notarius,1200 02 10,,&#9989;,All Pergamene
1,1,ACVr Diplomi P B,Archivio Capitolare di Verona,Diplomi,P B,Originale,19 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_P_B_recto.JPG.tif,0906 08 24,Diploma imperiale,0906 08 24,,&#9989;,ACVr Diplomi
2,2,ACVr Diplomi P C,Archivio Capitolare di Verona,Diplomi,P C,Originale,19 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_P_C_recto.JPG.tif,0905 01 23,Diploma imperiale,0905 01 23,,&#9989;,ACVr Diplomi
3,3,ACVr Diplomi Q B,Archivio Capitolare di Verona,Diplomi,Q B,Originale,26 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_Q_B_recto.JPG.tif,1027 05 24,Diploma imperiale,1027 05 24,,&#9989;,ACVr Diplomi
4,4,ACVr Diplomi R B,Archivio Capitolare di Verona,Diplomi,R B,Originale,26 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_R_B_recto.JPG.tif,1047 05 08,Diploma imperiale,1047 05 08,,&#9989;,ACVr Diplomi
5,5,ACVr Diplomi R C,Archivio Capitolare di Verona,Diplomi,R C,Originale,27 3,/iipzoom/image.php?collect=ACVr&imgname=ACVr_R_C_recto.JPG.tif,0951 10 09,Diploma imperiale,0951 10 09,,&#9989;,ACVr Diplomi
6,6,ACVr Diplomi S B,Archivio Capitolare di Verona,Diplomi,S B,Paltonarius notarius,+ 33 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_S_B_recto.JPG.tif,1136 09 25,Diploma imperiale,1136 09 25,,&#9989;,ACVr Diplomi
7,7,ACVr Diplomi S C,Archivio Capitolare di Verona,Diplomi,S C,Originale,+ 35 7,/iipzoom/image.php?collect=ACVr&imgname=ACVr_S_C_recto.JPG.tif,1154 10 26,Diploma imperiale,1154 10 26,,&#9989;,ACVr Diplomi
8,8,"ACVr Pergamene I, 1, 0",Archivio Capitolare di Verona,Pergamene,"I, 1, 0",Originale,30 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_0_recto.JPG.tif,0931 09 20,Liutefredus clericus notarius,0931 09 20,,&#9989;,ACVr Pergamene
9,9,"ACVr Pergamene I, 1, 1r",Archivio Capitolare di Verona,Pergamene,"I, 1, 1r",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_1r_recto.JPG.tif,0967 11 05,Diploma imperiale,0967 11 05,,&#9989;,ACVr Pergamene
10,10,"ACVr Pergamene I, 1, 1v",Archivio Capitolare di Verona,Pergamene,"I, 1, 1v",Originale,28 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_1v_recto.JPG.tif,0983 06 00,Diploma imperiale,0983 06 00,,&#9989;,ACVr Pergamene
11,11,"ACVr Pergamene I, 1, 2r",Archivio Capitolare di Verona,Pergamene,"I, 1, 2r",Copia XIII secolo,27 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_2r_recto.JPG.tif,0998 08 15,Diploma imperiale,0998 08 15,,&#9989;,ACVr Pergamene
12,12,"ACVr Pergamene I, 1, 2v",Archivio Capitolare di Verona,Pergamene,"I, 1, 2v",Originale,32 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_2v_recto.JPG.tif,1014 00 00,Diploma imperiale,1014 00 00,,&#9989;,ACVr Pergamene
13,13,"ACVr Pergamene I, 1, 3r 1",Archivio Capitolare di Verona,Pergamene,"I, 1, 3r 1",Copia imitativa?,32 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_3r_1_recto.JPG.tif,1027 05 24,Diploma imperiale,1027 05 24,,&#9989;,ACVr Pergamene
14,14,"ACVr Pergamene I, 1, 3r 2",Archivio Capitolare di Verona,Pergamene,"I, 1, 3r 2",Originale,33 3,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_1_3r_2_recto.JPG.tif,1084 06 18,Diploma imperiale,1084 06 18,,&#9989;,ACVr Pergamene
15,15,"ACVr Pergamene I, 1, 4v",Archivio Capitolare di Verona,Pergamene,"I, 1, 4v",Copia XII secolo,+ 35 5,n.d.,1154 10 26,Diploma imperiale,1154 10 26,,No,ACVr Pergamene
16,16,"ACVr Pergamene I, 1, 5r",Archivio Capitolare di Verona,Pergamene,"I, 1, 5r",Originale,+ 16 1,n.d.,1200 05 01,Documento papale,1200 05 01,,No,ACVr Pergamene
17,17,"ACVr Pergamene I, 4, 4r",Archivio Capitolare di Verona,Pergamene,"I, 4, 4r",Originale,Mazzi sciolti,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_4r_recto.JPG.tif,0877 01 00,Grausulfus notarius,0877 01 00,,&#9989;,ACVr Pergamene
18,18,"ACVr Pergamene I, 4, 4v",Archivio Capitolare di Verona,Pergamene,"I, 4, 4v",Copia coeva Teudemarius subdiaconus atque cancellarius,A 62 1 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_4v_recto.JPG.tif,0846 05 28,Garibertus notarius,0846 05 28,,&#9989;,ACVr Pergamene
19,19,"ACVr Pergamene I, 4, 5r 1",Archivio Capitolare di Verona,Pergamene,"I, 4, 5r 1",Copia XIII secolo Nicolaus de Bonencontro Burriono domini Friderici secundi imperatoris notarius da copia [del 1140] di Trasmundus tabelio,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_5r_1_recto.JPG.tif,0844 08 06,Vualpertus subdiaconus atque cancellarius sancte Veronensis ecclesie,0844 08 06,,&#9989;,ACVr Pergamene
20,20,"ACVr Pergamene I, 4, 5r 2",Archivio Capitolare di Verona,Pergamene,"I, 4, 5r 2",copia XII secolo Fatolinus notarius domni Welfonis ducis,A 12 1 8,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_5r_2_recto.JPG.tif,0866 02 05,Teudemarius notarius,0866 02 05,,&#9989;,ACVr Pergamene
21,21,"ACVr Pergamene I, 4, 5r 3",Archivio Capitolare di Verona,Pergamene,"I, 4, 5r 3",Originale,B 46 3 11,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_5r_3_recto.JPG.tif,0866 10 22,Teudemarius notarius,0866 10 22,,&#9989;,ACVr Pergamene
22,22,"ACVr Pergamene I, 4, 5v 1",Archivio Capitolare di Verona,Pergamene,"I, 4, 5v 1",Copia XII secolo Trasmundus,B 46 3 5,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_5v_1_recto.JPG.tif,0908 00 00,Rodulfus clericus atque notarius,0908 00 00,,&#9989;,ACVr Pergamene
23,23,"ACVr Pergamene I, 4, 5v 2",Archivio Capitolare di Verona,Pergamene,"I, 4, 5v 2",Originale,B 45 3 12,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_5v_2_recto.JPG.tif,0915 08 00,Ropertus notarius,0915 08 00,,&#9989;,ACVr Pergamene
24,24,"ACVr Pergamene I, 4, 6r",Archivio Capitolare di Verona,Pergamene,"I, 4, 6r",Copia sincrona (?),A 40 2 5,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_6r_recto.JPG.tif,0927 11 15,Agiprandus notarius,0927 11 15,,&#9989;,ACVr Pergamene
25,25,"ACVr Pergamene I, 4, 6v",Archivio Capitolare di Verona,Pergamene,"I, 4, 6v",Originale,A 40 2 11,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_6v_recto.JPG.tif,0931 09 20,Liutefredus clericus notarius,0931 09 20,,&#9989;,ACVr Pergamene
26,26,"ACVr Pergamene I, 4, 7r",Archivio Capitolare di Verona,Pergamene,"I, 4, 7r",Originale,B 46 3 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_7r_recto.JPG.tif,0947 01 00,Liuprandus clericus notarius domni regis,0947 01 00,,&#9989;,ACVr Pergamene
27,27,"ACVr Pergamene I, 4, 7v 1",Archivio Capitolare di Verona,Pergamene,"I, 4, 7v 1",Originale,B 44 1 9,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_7v_1_recto.JPG.tif,0801 02 00-0900 02 00,Non determinabile (lacuna),0801 02 00,0900 02 00,&#9989;,ACVr Pergamene
28,28,"ACVr Pergamene I, 4, 7v 2",Archivio Capitolare di Verona,Pergamene,"I, 4, 7v 2",Originale,A 72 5 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_4_7v_2_recto.JPG.tif,0966 10 10,Madelotus notarius,0966 10 10,,&#9989;,ACVr Pergamene
29,29,"ACVr Pergamene I, 5, 1r",Archivio Capitolare di Verona,Pergamene,"I, 5, 1r",Copia XI secolo Salomon notarius sacri palacii,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_1r_recto.JPG.tif,1009 04 24,Ambrosius notarius atque iudex sacri palacii,1009 04 24,,&#9989;,ACVr Pergamene
30,30,"ACVr Pergamene I, 5, 1v 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 1v 1",Originale,B 46 3 12,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_1v_1_recto.JPG.tif,1011 04 00,Rodebertus notarius,1011 04 00,,&#9989;,ACVr Pergamene
31,31,"ACVr Pergamene I, 5, 1v 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 1v 2",Originale,B 31 5 8,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_1v_2_recto.JPG.tif,1015 04 07,Iohannes notarius,1015 04 07,,&#9989;,ACVr Pergamene
32,32,"ACVr Pergamene I, 5, 1v 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 1v 3",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_1v_3_recto.JPG.tif,1016 04 10,Gumbertus notarius,1016 04 10,,&#9989;,ACVr Pergamene
33,33,"ACVr Pergamene I, 5, 1v 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 1v 4",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_1v_4_recto.JPG.tif,1021 02 06,Ambrosius notarius atque iudex sacri palacii,1021 02 06,,&#9989;,ACVr Pergamene
34,34,"ACVr Pergamene I, 5, 2r 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 2r 1",Originale,B 46 3 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2r_1_recto.JPG.tif,1022 00 00,Iohannes presbiter monachusque,1022 00 00,,&#9989;,ACVr Pergamene
35,35,"ACVr Pergamene I, 5, 2r 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 2r 2",Copia XII secolo Oddo notarius,B 39 3 3,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2r_2_recto.JPG.tif,1025 05 29,Ingelbertus notarius,1025 05 29,,&#9989;,ACVr Pergamene
36,36,"ACVr Pergamene I, 5, 2r 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 2r 3",Copia XII secolo Paltonarius notarius sacri palacii,B 39 2 8,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2r_3_recto.JPG.tif,1028 05 28,Iordanus notarius sacri palacii,1028 05 28,,&#9989;,ACVr Pergamene
37,37,"ACVr Pergamene I, 5, 2r 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 2r 4",Originale,64 5 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2r_4_recto.JPG.tif,1030 09 02,Iohannes notarius sacri palacii,1030 09 02,,&#9989;,ACVr Pergamene
38,38,"ACVr Pergamene I, 5, 2v 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 2v 1",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2v_1_recto.JPG.tif,1036 02 06,Teupus notarius,1036 02 06,,&#9989;,ACVr Pergamene
39,39,"ACVr Pergamene I, 5, 2v 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 2v 2",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2v_2_recto.JPG.tif,1036 06 30,Iohannes notarius,1036 06 30,,&#9989;,ACVr Pergamene
40,40,"ACVr Pergamene I, 5, 2v 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 2v 3",Originale,B 35 5 11,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2v_3_recto.JPG.tif,1036 07 00,Dodo notarius,1036 07 00,,&#9989;,ACVr Pergamene
41,41,"ACVr Pergamene I, 5, 2v 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 2v 4",Copia XII secolo Paltonarius notarius,A 70 1 10,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2v_4_recto.JPG.tif,1038 01 04,Arderadus notarius atque iudex sacri palacii,1038 01 04,,&#9989;,ACVr Pergamene
42,42,"ACVr Pergamene I, 5, 2v 5",Archivio Capitolare di Verona,Pergamene,"I, 5, 2v 5",Copia XII secolo Oddo notarius,A 17 4 8,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_2v_5_recto.JPG.tif,1038 03 29,Ambrosius notarius atque iudex sacri palacii,1038 03 29,,&#9989;,ACVr Pergamene
43,43,"ACVr Pergamene I, 5, 3r 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 3r 1",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3r_1_recto.JPG.tif,1038 00 00,Non determinabile (lacuna),1038 00 00,,&#9989;,ACVr Pergamene
44,44,"ACVr Pergamene I, 5, 3r 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 3r 2",Copia secolo XI ex. Bonefacius notarius,A 59 4 14,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3r_2_recto.JPG.tif,1042 09 29,Dodo notarius et iudex sacri palacii,1042 09 29,,&#9989;,ACVr Pergamene
45,45,"ACVr Pergamene I, 5, 3r 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 3r 3",Copia secolo XII Paltonarius notarius sacri palacii,B 46 3 7,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3r_3_recto.JPG.tif,1042 09 29,Dodo notarius et iudex sacri palacii,1042 09 29,,&#9989;,ACVr Pergamene
46,46,"ACVr Pergamene I, 5, 3r 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 3r 4",Copia XI secolo Iohannes qui et Vualdo notarius sacri palacii,A 47 3 6,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3r_4_recto.JPG.tif,1050 09 21,Berulfo notarius,1050 09 21,,&#9989;,ACVr Pergamene
47,47,"ACVr Pergamene I, 5, 3r 5",Archivio Capitolare di Verona,Pergamene,"I, 5, 3r 5",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3r_5_recto.JPG.tif,1049 01 08,Gauselmo notarius,1049 01 08,,&#9989;,ACVr Pergamene
48,48,"ACVr Pergamene I, 5, 3v 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 3v 1",Originale,A 47 3 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3v_1_recto.JPG.tif,1053 03 22,Maginfredus notarius,1053 03 22,,&#9989;,ACVr Pergamene
49,49,"ACVr Pergamene I, 5, 3v 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 3v 2",Originale,?,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3v_2_recto.JPG.tif,1053 03 00,Non determinabile (lacuna),1053 03 00,,&#9989;,ACVr Pergamene
50,50,"ACVr Pergamene I, 5, 3v 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 3v 3",Originale,A 38 4 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_3v_3_recto.JPG.tif,1054 04 26,Gauselmo notarius,1054 04 26,,&#9989;,ACVr Pergamene
51,51,"ACVr Pergamene I, 5, 4r 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 4r 1",Originale,A 58 1 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4r_1_recto.JPG.tif,1055 04 11,Vualfredus notarius sacri palacii,1055 04 11,,&#9989;,ACVr Pergamene
52,52,"ACVr Pergamene I, 5, 4r 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 4r 2",Copia XII secolo Iohannes qui et Vualdo notarius sacri palacii,A 45 4 6,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4r_2_recto.JPG.tif,1056 04 01,Vuinizo notarius,1056 04 01,,&#9989;,ACVr Pergamene
53,53,"ACVr Pergamene I, 5, 4r 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 4r 3",Copia XII secolo Bonifacius,B 43 4 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4r_3_recto.JPG.tif,1055 05 06,Vuilielmus notarius sacri palacii,1055 05 06,,&#9989;,ACVr Pergamene
54,54,"ACVr Pergamene I, 5, 4r 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 4r 4",Originale,A 54 4 1,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4r_4_recto.JPG.tif,1059 04 27,Iohannes notarius,1059 04 27,,&#9989;,ACVr Pergamene
55,55,"ACVr Pergamene I, 5, 4v 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 4v 1",Originale,A 71 2 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4v_1_recto.JPG.tif,1065 01 31,Non determinabile (lacuna),1065 01 31,,&#9989;,ACVr Pergamene
56,56,"ACVr Pergamene I, 5, 4v 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 4v 2",Originale,A 47 3 7,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4v_2_recto.JPG.tif,1065 02 16,Rozo notarius,1065 02 16,,&#9989;,ACVr Pergamene
57,57,"ACVr Pergamene I, 5, 4v 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 4v 3",Originale,A 71 2 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4v_3_recto.JPG.tif,1065 01 31,Non determinabile (lacuna),1065 01 31,,&#9989;,ACVr Pergamene
58,58,"ACVr Pergamene I, 5, 4v 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 4v 4",Originale,A 67 3 6,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4v_4_recto.JPG.tif,1065 04 27,Isnardus notarius,1065 04 27,,&#9989;,ACVr Pergamene
59,59,"ACVr Pergamene I, 5, 4v 5",Archivio Capitolare di Verona,Pergamene,"I, 5, 4v 5",Originale,A 60 4 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_4v_5_recto.JPG.tif,1068 03 08,Vualfredus notarius sacri palacii,1068 03 08,,&#9989;,ACVr Pergamene
60,60,"ACVr Pergamene I, 5, 5r 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 5r 1",Copia XI secolo Albericus qui Bonifacius notarius,A 59 4 8,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5r_1_recto.JPG.tif,1068 06 01,Dodus iudex sacri palacii,1068 06 01,,&#9989;,ACVr Pergamene
61,61,"ACVr Pergamene I, 5, 5r 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 5r 2",Originale,A 19 2 6,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5r_2_recto.JPG.tif,1068 07 29,Iohannes notarius,1068 07 29,,&#9989;,ACVr Pergamene
62,62,"ACVr Pergamene I, 5, 5r 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 5r 3",Originale,B 36 5 10,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5r_3_recto.JPG.tif,1071 04 01,Iohannes qui et Vualdo notarius sacri palacii,1071 04 01,,&#9989;,ACVr Pergamene
63,63,"ACVr Pergamene I, 5, 5r 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 5r 4",Originale,A 47 3 9,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5r_4_recto.JPG.tif,1072 11 30,Iohannes notarius,1072 11 30,,&#9989;,ACVr Pergamene
64,64,"ACVr Pergamene I, 5, 5r 5",Archivio Capitolare di Verona,Pergamene,"I, 5, 5r 5",Originale,B 30 2 3,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5r_5_recto.JPG.tif,1076 07 29,Petrus notarius,1076 07 29,,&#9989;,ACVr Pergamene
65,65,"ACVr Pergamene I, 5, 5v 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 5v 1",Originale,A 53 2 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5v_1_recto.JPG.tif,1079 06 30,Petrus notarius,1079 06 30,,&#9989;,ACVr Pergamene
66,66,"ACVr Pergamene I, 5, 5v 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 5v 2",Copia 1291 Iohannes de magistro Achileseto domni Federici imperatoris notarius.,A 25 1 9,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5v_2_recto.JPG.tif,1079 06 30,Petrus notarius,1079 06 30,,&#9989;,ACVr Pergamene
67,67,"ACVr Pergamene I, 5, 5v 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 5v 3",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5v_3_recto.JPG.tif,1081 06 29,Salomon notarius sacri palacii,1081 06 29,,&#9989;,ACVr Pergamene
68,68,"ACVr Pergamene I, 5, 5v 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 5v 4",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5v_4_recto.JPG.tif,1083 05 01,Maginfredus notarius,1083 05 01,,&#9989;,ACVr Pergamene
69,69,"ACVr Pergamene I, 5, 5v 5",Archivio Capitolare di Verona,Pergamene,"I, 5, 5v 5",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5v_5_recto.JPG.tif,1081 00 00,Non determinabile (lacuna),1081 00 00,,&#9989;,ACVr Pergamene
70,70,"ACVr Pergamene I, 5, 5v 6",Archivio Capitolare di Verona,Pergamene,"I, 5, 5v 6",Originale,A 16 2 9,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_5v_6_recto.JPG.tif,1085 05 01,Cresencius notarius,1085 05 01,,&#9989;,ACVr Pergamene
71,71,"ACVr Pergamene I, 5, 6r 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 6r 1",Originale,A 49 1 2,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6r_1_recto.JPG.tif,1085 11 25,Amelricus notarius,1085 11 25,,&#9989;,ACVr Pergamene
72,72,"ACVr Pergamene I, 5, 6r 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 6r 2",Copia XI-XII secolo Albericus qui Bonefacius notarius,A 47 3 8,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6r_2_recto.JPG.tif,1092 03 20,Iohannes notarius,1092 03 20,,&#9989;,ACVr Pergamene
73,73,"ACVr Pergamene I, 5, 6r 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 6r 3",Copia XI-XII secolo Bonefacius notarius,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6r_3_recto.JPG.tif,1091 02 28,Iohannes notarius,1091 02 28,,&#9989;,ACVr Pergamene
74,74,"ACVr Pergamene I, 5, 6r 4",Archivio Capitolare di Verona,Pergamene,"I, 5, 6r 4",Originale,A 58 3 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6r_4_recto.JPG.tif,1094 04 11,Iohannes notarius,1094 04 11,,&#9989;,ACVr Pergamene
75,75,"ACVr Pergamene I, 5, 6v 1",Archivio Capitolare di Verona,Pergamene,"I, 5, 6v 1",Originale,A 57 5 15,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6v_1_recto.JPG.tif,1100 02 05,Trasmundus notarius,1100 02 05,,&#9989;,ACVr Pergamene
76,76,"ACVr Pergamene I, 5, 6v 2",Archivio Capitolare di Verona,Pergamene,"I, 5, 6v 2",Originale,A 20 4 5,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6v_2_recto.JPG.tif,1115 06 10,Bonifacius notarius,1115 06 10,,&#9989;,ACVr Pergamene
77,77,"ACVr Pergamene I, 5, 6v 3",Archivio Capitolare di Verona,Pergamene,"I, 5, 6v 3",Originale,A 71 4 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_5_6v_3_recto.JPG.tif,1025 11 24,Non determinabile (lacuna),1025 11 24,,&#9989;,ACVr Pergamene
78,78,"ACVr Pergamene I, 6, 1r",Archivio Capitolare di Verona,Pergamene,"I, 6, 1r",Originale,B 46 5 7,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1r_5_recto.JPG.tif,1104 04 01,Vitalis notarius,1104 04 01,,&#9989;,ACVr Pergamene
79,79,"ACVr Pergamene I, 6, 1r 1",Archivio Capitolare di Verona,Pergamene,"I, 6, 1r 1",Originale,A 9 0 unica,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1r_1_recto.JPG.tif,1001 00 00-1100 00 00,Ambrosius notarius atque iudex sacri palacii,1001 00 00,1100 00 00,&#9989;,ACVr Pergamene
80,80,"ACVr Pergamene I, 6, 1r 2",Archivio Capitolare di Verona,Pergamene,"I, 6, 1r 2",Originale,A 72 2 4,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1r_2_recto.JPG.tif,1066 05 06,Iohannes,1066 05 06,,&#9989;,ACVr Pergamene
81,81,"ACVr Pergamene I, 6, 1r 3",Archivio Capitolare di Verona,Pergamene,"I, 6, 1r 3",Originale,A 65 2 ?,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1r_3_recto.JPG.tif,1048 00 00,Non determinabile (lacuna),1048 00 00,,&#9989;,ACVr Pergamene
82,82,"ACVr Pergamene I, 6, 1r 5",Archivio Capitolare di Verona,Pergamene,"I, 6, 1r 5",Originale,A 72 5 13,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1r_5_recto.JPG.tif,1004 06 21,Gausspertus notarius,1004 06 21,,&#9989;,ACVr Pergamene
83,83,"ACVr Pergamene I, 6, 1v 1",Archivio Capitolare di Verona,Pergamene,"I, 6, 1v 1",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1v_1_recto.JPG.tif,1001 00 00-1100 00 00,Vitalis notarius,1001 00 00,1100 00 00,&#9989;,ACVr Pergamene
84,84,"ACVr Pergamene I, 6, 1v 2",Archivio Capitolare di Verona,Pergamene,"I, 6, 1v 2",Originale,n.d.,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1v_2_recto.JPG.tif,1001 00 00-1100 00 00,Non determinabile (lacuna),1001 00 00,1100 00 00,&#9989;,ACVr Pergamene
85,85,"ACVr Pergamene I, 6, 1v 3",Archivio Capitolare di Verona,Pergamene,"I, 6, 1v 3",Originale,B 44 2 15,/iipzoom/image.php?collect=ACVr&imgname=ACVr_I_6_1v_3_recto.JPG.tif,1007 02 14,Ambrosius notarius atque iudex sacri palacii,1007 02 14,,&#9989;,ACVr Pergamene
86,86,"ACVr Pergamene I, 6, 2r",Archivio Capitolare di Verona,Pergamene,"I, 6, 2r",Originale,n.d.,n.d.,1117 05 30,Trasmundus notarius,1117 05 30,,No,ACVr Pergamene
87,87,"ACVr Pergamene I, 6, 2v",Archivio Capitolare di Verona,Pergamene,"I, 6, 2v",Originale,A 31 2 1,n.d.,1114 08 15,Trasmundus notarius,1114 08 15,,No,ACVr Pergamene
